,idf1,idp,idr,recall,precision,num_unique_objects,mostly_tracked,partially_tracked,mostly_lost,num_false_positives,num_misses,num_switches,num_fragmentations,mota,motp,num_transfer,num_ascend,num_migrate,model_name,timestamp
ADL-Rundle-6,0.561507516409062,0.5977011494252874,0.5294469954082651,0.7799960071870633,0.8805499211178724,24,13,11,0,530,1102,36,65,0.6669994010780596,0.19325943680716895,25,12,4,Bytetrack_Nano_MOT15,2026-02-22 01:45:43
ADL-Rundle-8,0.5360009729992703,0.45616395818238276,0.6497125165855816,0.8600914049830458,0.6038712348618156,28,21,7,0,3827,949,57,112,0.287483414418399,0.24501120660775727,21,33,2,Bytetrack_Nano_MOT15,2026-02-22 01:45:43
ETH-Bahnhof,0.5743749536315751,0.4800347222222222,0.7148661126500462,0.929455216989843,0.6241319444444444,171,133,18,20,3031,382,25,16,0.36509695290858724,0.1869229252747167,81,10,66,Bytetrack_Nano_MOT15,2026-02-22 01:45:43
ETH-Pedcross2,0.683718558803535,0.7307901907356948,0.6423439246367556,0.7573048060035127,0.8615803814713896,133,59,48,26,762,1520,84,117,0.6222257703975731,0.2190284406192693,77,30,30,Bytetrack_Nano_MOT15,2026-02-22 01:45:43
ETH-Sunnyday,0.8872142677719166,0.8318417333961375,0.9504843918191603,0.9515608180839612,0.8327837965143665,30,26,3,1,355,90,1,2,0.759956942949408,0.1558487458358867,1,1,1,Bytetrack_Nano_MOT15,2026-02-22 01:45:43
KITTI-13,0.5012658227848101,0.40807914262159933,0.6496062992125984,0.7296587926509186,0.4583676834295136,42,21,12,9,657,206,34,16,-0.17716535433070857,0.2321312595586719,27,13,6,Bytetrack_Nano_MOT15,2026-02-22 01:45:43
KITTI-17,0.6009693053311793,0.4752981260647359,0.8169838945827232,0.8828696925329429,0.5136286201022147,9,8,1,0,571,80,1,21,0.0453879941434846,0.22431312296703565,0,1,0,Bytetrack_Nano_MOT15,2026-02-22 01:45:43
PETS09-S2L1,0.8209259856053281,0.7906062487068074,0.8536639857015192,0.959562109025916,0.888681978067453,19,19,0,0,538,181,14,59,0.8362377122430742,0.27116734158880323,6,7,1,Bytetrack_Nano_MOT15,2026-02-22 01:45:43
TUD-Campus,0.7542706964520368,0.7139303482587065,0.7994428969359332,0.8857938718662952,0.7910447761194029,8,8,0,0,84,41,2,12,0.6462395543175488,0.2628699084196706,2,0,0,Bytetrack_Nano_MOT15,2026-02-22 01:45:43
TUD-Stadtmitte,0.7990929705215419,0.8398474737845567,0.7621107266435986,0.8581314878892734,0.9456625357483317,10,7,3,0,57,164,5,17,0.8044982698961938,0.2779866572014947,4,2,1,Bytetrack_Nano_MOT15,2026-02-22 01:45:43
Venice-2,0.46984352053476475,0.36799936538156436,0.6496289035149139,0.8487606777762218,0.48080279232111695,26,19,7,0,6545,1080,40,73,-0.0733790785604258,0.229642978609864,12,26,3,Bytetrack_Nano_MOT15,2026-02-22 01:45:43
OVERALL,0.6023831508596051,0.5365500225194353,0.6866307480265631,0.8547801027440171,0.6679460316838663,500,334,110,56,16957,5795,299,510,0.42235308858539033,0.22339040082443073,256,135,114,Bytetrack_Nano_MOT15,2026-02-22 01:45:43
